net,length_um
net583,1.90682mm
net702,1.79866mm
net544,1.79288mm
net524,1.752775mm
net784,1.71856mm
net533,1.71702mm
net629,1.71606mm
net616,1.68078mm
net648,1.62372mm
net602,1.5849mm
net523,1.56624mm
net775,1.5645mm
net798,1.50858mm
_1816_,1.47078mm
net534,1.46692mm
net519,1.45924mm
net564,1.45527mm
net812,1.4527mm
net589,1.44344mm
net674,1.40273mm
net811,1.4026mm
net563,1.39966mm
_2163_,1.39785mm
_1856_,1.38592mm
net727,1.3856mm
net32,1.37554mm
net511,1.37354mm
net554,1.36622mm
net619,1.35574mm
net510,1.35304mm
net548,1.34792mm
_1999_,1.3432mm
net355,1.31378mm
net566,1.31339mm
net444,1.31204mm
net803,1.29653mm
_1478_,1.28094mm
_1696_,1.2734mm
net584,1.26542mm
net654,1.263075mm
net659,1.25905mm
_1948_,1.25574mm
_2030_,1.24918mm
_1769_,1.24254mm
_1947_,1.24078mm
_1773_,1.24034mm
net431,1.23858mm
_1481_,1.23574mm
_1772_,1.22592mm
net669,1.2256mm
net561,1.21514mm
net138,1.2127mm
_0433_,1.20594mm
net470,1.20222mm
net670,1.19356mm
_1523_,1.18976mm
_1928_,1.1895mm
net137,1.18858mm
_0434_,1.18362mm
net47,1.17328mm
net76,1.1705mm
_1415_,1.16874mm
net173,1.16654mm
_1843_,1.15038mm
_0385_,1.14054mm
net258,1.13492mm
net668,1.12602mm
_1447_,1.11214mm
_0435_,1.10694mm
net498,1.10473mm
_0500_,1.10336mm
net630,1.09034mm
_2077_,1.08114mm
net667,1.0793mm
net406,1.07072mm
clknet_2_3_0_clk,1.06994mm
clk,1.05921mm
_2089_,1.05288mm
net374,1.035385mm
net375,1.03078mm
_1836_,1.02228mm
net376,1.01928mm
net568,1.01455mm
net671,1.00197mm
net672,991.37µm
net559,987.175µm
net377,977.21µm
_1831_,975.34µm
net752,963.5µm
_1872_,960.42µm
net497,956.9µm
net465,954.8µm
clknet_5_1__leaf_clk,941.02µm
net499,940.26µm
net553,939.74µm
_0583_,937.64µm
_1689_,935.96µm
_2171_,928.38µm
_2172_,926.9µm
_1621_,924.84µm
net373,915.02µm
net500,902.9µm
net372,902.38µm
net82,901.52µm
net336,896.34µm
net543,896.08µm
net114,894.58µm
net545,893.29µm
_1685_,889.62µm
_1763_,885.82µm
_1761_,884.02µm
_1993_,878.1µm
net457,878.02µm
net461,871.805µm
net347,871.3µm
net513,870.885µm
_1767_,869.12µm
net573,864.68µm
net512,856.04µm
_1990_,855.04µm
_1850_,851.12µm
net458,834.74µm
net407,832.53µm
net460,830.535µm
net409,830.385µm
_1920_,829.76µm
_1676_,825.08µm
net113,823.78µm
_1688_,821.24µm
net89,813µm
net408,811.25µm
net754,810.62µm
net537,808.67µm
net207,806.62µm
clknet_2_1_0_clk,805.56µm
clknet_2_2_0_clk,804.1µm
clknet_5_24__leaf_clk,803.74µm
net647,802.7µm
net369,801.62µm
net358,800.94µm
_1805_,781.48µm
net100,771.74µm
_1931_,769.54µm
net149,768.98µm
net78,768.54µm
net531,767.44µm
net547,752.2µm
_1827_,751.54µm
net483,748.44µm
net111,745.12µm
net447,744.02µm
net774,739.5µm
_1834_,732.68µm
_1734_,729.02µm
clknet_1_0_0_clk,723.18µm
net482,719.88µm
net151,718.75µm
net150,716.3µm
net751,716.26µm
_2027_,714.12µm
net446,711.67µm
_1900_,711.36µm
_1903_,708.88µm
clknet_1_1_0_clk,708.62µm
clknet_0_clk,707.96µm
_2098_,699.06µm
_2169_,696.7µm
clknet_2_0_0_clk,694.66µm
_1915_,684.26µm
net25,681.92µm
_2091_,681µm
net743,680.18µm
net414,678.14µm
net477,674.67µm
_2351_,673.6µm
net335,673.32µm
net478,673.21µm
_0335_,671.14µm
_0334_,669.06µm
_1440_,668.94µm
_2268_,667.56µm
_2119_,665.64µm
_1802_,655.68µm
_0375_,652.02µm
_0396_,647.68µm
net156,638.62µm
net560,638.28µm
_1441_,637.28µm
_1479_,636.555µm
_0301_,625.06µm
_0378_,624.88µm
_1926_,618.48µm
gen_pe\[0\].pe_inst.out_right\[19\],615.52µm
gen_pe\[0\].pe_inst.out_right\[16\],614.44µm
net582,611.52µm
_2178_,610.12µm
_1791_,608.38µm
